stringsfile version 1
4179
str_no_string NO_STRING!
str_empty_string _
str_yes Yes.
str_no No.
str_blank_string _
str_error_string {!}ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone no_one
str_s0 {!}{s0}
str_blank_s1 {!}_{s1}
str_reg1 {!}{reg1}
str_s50_comma_s51 {!}{s50},_{s51}
str_s50_and_s51 {s50}_and_{s51}
str_s52_comma_s51 {!}{s52},_{s51}
str_s52_and_s51 {s52}_and_{s51}
str_s5_s_party {s5}'s_Party
str_given_by_s1_at_s2 Given_by_{s1}_at_{s2}
str_given_by_s1_in_wilderness Given_by_{s1}_whilst_in_the_field
str_s7_raiders {s7}_Raiders
str_bandits_eliminated_by_another The_troublesome_bandits_have_been_eliminated_by_another_party.
str_msg_battle_won Battle_won!_Press_tab_key_to_leave...
str_tutorial_map1 You_are_now_viewing_the_overland_map._Left-click_on_the_map_to_move_your_party_to_that_location,_enter_the_selected_town,_or_pursue_the_selected_party._Time_will_pause_on_the_overland_map_if_your_party_is_not_moving,_waiting_or_resting._To_wait_anywhere_simply_press_and_hold_down_the_space_bar.
str_change_color_1 {!}Change_Color_1
str_change_color_2 {!}Change_Color_2
str_change_background {!}Change_Background_Pattern
str_change_flag_type {!}Change_Flag_Type
str_change_map_flag_type {!}Change_Map_Flag_Type
str_randomize Randomize
str_sample_banner {!}Sample_banner:
str_sample_map_banner {!}Sample_map_banner:
str_number_of_charges {!}Number_of_charges:
str_change_charge_1 {!}Change_Charge_1
str_change_charge_1_color {!}Change_Charge_1_Color
str_change_charge_2 {!}Change_Charge_2
str_change_charge_2_color {!}Change_Charge_2_Color
str_change_charge_3 {!}Change_Charge_3
str_change_charge_3_color {!}Change_Charge_3_Color
str_change_charge_4 {!}Change_Charge_4
str_change_charge_4_color {!}Change_Charge_4_Color
str_change_charge_position {!}Change_Charge_Position
str_choose_position {!}Choose_position:
str_choose_charge {!}Choose_a_charge:
str_choose_background {!}Choose_background_pattern:
str_choose_flag_type {!}Choose_flag_type:
str_choose_map_flag_type {!}Choose_map_flag_type:
str_choose_color {!}Choose_color:
str_accept {!}Accept
str_charge_no_1 {!}Charge_#1:
str_charge_no_2 {!}Charge_#2:
str_charge_no_3 {!}Charge_#3:
str_charge_no_4 {!}Charge_#4:
str_change {!}Change
str_color_no_1 {!}Color_#1:
str_color_no_2 {!}Color_#2:
str_charge Charge
str_color Color
str_flip_horizontal Flip_Horizontal
str_flip_vertical Flip_Vertical
str_hold_fire Hold_Fire
str_blunt_hold_fire Blunt_/_Hold_Fire
str_tutorial_ammo_refilled Ammo_refilled.
str_tutorial_failed You_have_been_beaten_this_time,_but_don't_worry._Follow_the_instructions_carefully_and_you'll_do_better_next_time._Press_the_Tab_key_to_return_to_to_the_menu_where_you_can_retry_this_tutorial.
str_tutorial_1_msg_1 {!}In_this_tutorial_you_will_learn_the_basics_of_movement_and_combat._In_Mount&Blade:_Warband,_you_use_the_mouse_to_control_where_you_are_looking,_and_W,_A,_S,_and_D_keys_of_your_keyboard_to_move._Your_first_task_in_the_training_is_to_locate_the_yellow_flag_in_the_room_and_move_over_it._You_can_press_the_Tab_key_at_any_time_to_quit_this_tutorial_or_to_exit_any_other_area_in_the_game._Go_to_the_yellow_flag_now.
str_tutorial_1_msg_2 {!}Well_done._Next_we_will_cover_attacking_with_weapons._For_the_purposes_of_this_tutorial_you_have_been_equipped_with_bow_and_arrows,_a_sword_and_a_shield._You_can_draw_different_weapons_from_your_weapon_slots_by_using_the_scroll_wheel_of_your_mouse._In_the_default_configuration,_scrolling_up_pulls_out_your_next_weapon,_and_scrolling_down_pulls_out_your_shield._If_you_are_already_holding_a_shield,_scrolling_down_will_put_your_shield_away_instead._Try_changing_your_wielded_equipment_with_the_scroll_wheel_now._When_you_are_ready,_go_to_the_yellow_flag_to_move_on_to_your_next_task.
